name,ticker,rank,year,industry,sector,headquarters_state,headquarters_city,marketcap,revenue_mil,profit_mil,asset_mil,employees,description
Reliance Steel & Aluminum,RS,247,2023,Metals,Materials,AZ,Scottsdale,17358,17025,1840,10330,14750,"Reliance Steel & Aluminum Co. is a metals service center company in North America. It provides metals processing services and distributes a wide range of metal products, including alloy, aluminum, brass, copper, carbon steel, stainless steel, and titanium. The company serves a variety of industries, such as aerospace, defense, energy, transportation, and fabrication. Reliance Steel & Aluminum Co. operates in over 300 locations across the United States, Canada, and Mexico, and has been in operation for over 80 years."
Live Nation Entertainment,LYV,248,2023,Entertainment,Media,CA,Beverly Hills,23468,16681,296,16461,20550,"Live Nation Entertainment, Inc. is an American global entertainment company that was founded in 2010 through the merger of Live Nation and Ticketmaster. The company is involved in the production of music concerts, organization of events, and management of artists. Live Nation Entertainment is one of the largest live entertainment companies in the world, with a significant presence in the concert promotion and ticketing industries. The company operates in multiple segments, including concerts, ticketing, sponsorship and advertising, and artist management. Live Nation Entertainment is known for its extensive network of venues and events worldwide."
DISH Network,DISH,249,2023,Telecommunications,Telecommunications,CO,Englewood,1,16679,2303,52607,14200,"DISH Network Corporation is a leading provider of satellite television, internet, and other digital entertainment services in the United States. The company was founded in 1980 and has since grown to become one of the largest pay-TV providers in the country, serving millions of customers with a wide range of programming options. DISH Network offers a variety of packages that include hundreds of channels, on-demand content, and access to popular streaming services. In addition to its television services, the company also provides high-speed internet and home automation solutions to residential and commercial customers. DISH Network is known for its innovative technology, competitive pricing, and commitment to customer satisfaction."
DuPont,DD,250,2023,Chemicals,Chemicals,DE,Wilmington,32842,16549,5868,41355,23000,"DuPont de Nemours, Inc., commonly known as DuPont, is an American company that was founded in 1802 as a gunpowder mill. Over the years, DuPont has evolved into a multinational conglomerate with business interests in a wide range of industries including agriculture, materials science, and biotechnology. The company is known for its innovative products and technologies, particularly in the areas of chemicals, electronics, and safety equipment. DuPont has a long history of research and development, and has been responsible for many groundbreaking inventions and discoveries throughout its existence."
Automatic Data Processing,ADP,251,2023,Diversified Outsourcing Services,Business Services,NJ,Roseland,103968,16498,2949,63068,60000,"Automatic Data Processing, Inc. (ADP) is an American provider of human resources management software and services. It is one of the largest human resources companies in the world, offering services such as payroll processing, time and attendance management, benefits administration, and compliance solutions. ADP serves over 810,000 clients in more than 140 countries and has operations in North America, Europe, Latin America, and the Asia-Pacific region. The company was founded in 1949 and is headquartered in the United States."
Group 1 Automotive,GPI,252,2023,"Automotive Retailing, Services",Retailing,TX,Houston,4148,16412,752,6718,15491,"Group 1 Automotive, Inc. is an international Fortune 500 automotive retailer with locations in the United States, the United Kingdom, and Brazil. The company is one of the largest automotive dealership groups in the United States, with over 180 dealerships representing 33 brands. Group 1 Automotive, Inc. offers a wide range of automotive products and services, including new and used vehicles, vehicle parts, maintenance and repair services, and financing and insurance products. The company is known for its commitment to customer service and has received numerous awards for its performance and dedication to excellence in the automotive industry."
Aramark,ARMK,253,2023,Diversified Outsourcing Services,Business Services,PA,Philadelphia,8521,16327,195,15082,273875,"Aramark Corporation is an American food service, facilities, and uniform services provider to clients in various industries, including education, healthcare, business, corrections, and leisure. With a global presence, Aramark operates in over 20 countries and serves millions of customers daily. The company offers services such as dining, catering, facility management, and uniform provision to a diverse range of clients, including corporations, schools, stadiums, and hospitals. Aramark is known for its focus on sustainability and social responsibility in its operations."
Thor Industries,THO,254,2023,Motor Vehicles & Parts,Motor Vehicles & Parts,IN,Elkhart,5171,16313,1138,7408,32000,"Thor Industries, Inc. is an American manufacturer of recreational vehicles (RVs). The company was founded in 1980 and has since grown to become one of the largest RV manufacturers in the world. Thor Industries produces a wide range of RVs, including motorhomes, travel trailers, and fifth-wheel trailers, under several brand names. The company has manufacturing facilities across North America and sells its products through a network of dealers in the United States and internationally. Thor Industries is known for its innovation, quality, and diverse product offerings in the RV industry."
DXC Technology,DXC,255,2023,Information Technology Services,Technology,VA,Ashburn,2936,16265,718,20139,130000,"DXC Technology Company is an American multinational corporation that provides information technology services and solutions. It was formed through the merger of Computer Sciences Corporation (CSC) and the Enterprise Services business of Hewlett Packard Enterprise (HPE). DXC Technology offers a wide range of services including consulting, analytics, enterprise applications, cloud services, and cybersecurity. The company serves various industries including healthcare, financial services, manufacturing, and the public sector. With a global presence, DXC Technology employs thousands of professionals worldwide to help companies modernize their IT infrastructure and navigate digital transformation."
Viatris,VTRS,256,2023,Pharmaceuticals,Health Care,PA,Canonsburg,12949,16263,2079,50022,37000,"Viatris Inc. is an American pharmaceutical company formed in 2020 through a merger of Mylan and Upjohn, a division of Pfizer. The company is headquartered in the United States and specializes in the development, manufacturing, and distribution of generic and specialty pharmaceuticals, as well as over-the-counter (OTC) products. Viatris operates in over 165 countries and territories worldwide, with a focus on providing access to affordable healthcare solutions."
Reinsurance Group of America,RGA,257,2023,"Insurance: Life, Health (Stock)",Financials,MO,Chesterfield,13961,16258,623,84706,3800,"Reinsurance Group of America, Incorporated (RGA) is a leading global life and health reinsurance company with operations in more than 60 countries. The company offers individual and group life and health-related reinsurance solutions to insurance companies worldwide. RGA was founded in 1973 and has since grown to become one of the largest reinsurance companies in the world. The company is known for its expertise in risk management, underwriting, and actuarial services, as well as its innovation in developing reinsurance solutions tailored to meet the unique needs of its clients."
AutoZone,AZO,258,2023,Specialty Retailers: Other,Retailing,TN,Memphis,47975,16252,2430,15275,90720,"AutoZone, Inc. is an American retailer of aftermarket automotive parts and accessories, including automotive hard parts, maintenance items, accessories, and non-automotive products. Founded in 1979, AutoZone has over 6,000 stores across the United States, Mexico, Brazil, and Puerto Rico. With a focus on providing its customers with the parts they need to fix their vehicles, AutoZone also offers services such as free engine code scanning, battery charging, and oil recycling."
PulteGroup,PHM,259,2023,Homebuilders,Engineering & Construction,GA,Atlanta,24021,16229,2617,14797,6524,"PulteGroup, Inc. is a home construction company founded in 1950 by Bill Pulte. It is one of the largest home construction companies in the United States, operating in 44 markets across the country. PulteGroup primarily focuses on constructing and selling single-family homes, townhouses, and condominiums. The company is known for its energy-efficient and environmentally friendly building practices. PulteGroup has multiple brands under its umbrella, including Pulte Homes, Centex, Del Webb, DiVosta, and John Wieland Homes and Neighborhoods."
Illinois Tool Works,ITW,260,2023,Industrial Machinery,Industrials,IL,Glenview,74224,15932,3034,15422,46000,"Illinois Tool Works Inc. (ITW) is an American Fortune 200 global manufacturer of engineered products and specialty systems. The company operates through seven segments: Automotive OEM, Test & Measurement and Electronics, Food Equipment, Polymers & Fluids, Welding, Construction Products, and Specialty Products. ITW has a diversified business portfolio with a strong focus on innovation, customer-centric solutions, and operational excellence. The company was founded in 1912 and has a long-standing history of providing value-added products and services to customers across various industries worldwide."
Parker-Hannifin,PH,261,2023,Industrial Machinery,Industrials,OH,Cleveland,70192,15862,1316,25944,55090,"Parker-Hannifin Corporation is an American corporation specializing in motion and control technologies. It was founded in 1917 and is headquartered in the United States. The company operates in the manufacturing and engineering sectors, providing a wide range of products and systems used in various industries such as aerospace, industrial, and automotive. Parker-Hannifin Corporation is known for its expertise in motion and control technologies, including hydraulics, pneumatics, electromechanical, filtration, and fluid connectors. The company has a global presence with operations in numerous countries around the world."
BorgWarner,BWA,262,2023,Motor Vehicles & Parts,Motor Vehicles & Parts,MI,Auburn Hills,8168,15801,944,16994,52700,"BorgWarner Inc. is an American global automotive supplier headquartered in the United States. The company focuses on powertrain components and systems for combustion, hybrid, and electric vehicles. They specialize in technologies to improve fuel efficiency, emissions, and performance in a wide range of vehicles. BorgWarner operates manufacturing and technical facilities around the world and serves customers in over 60 countries."
Westlake,WLKP,263,2023,Chemicals,Chemicals,TX,Houston,787,15794,2247,20550,15920,"Westlake Chemical Partners LP is a company that was formed by Westlake Chemical Corporation in 2014. It is a limited partnership that is engaged in the acquisition, development, operation, and maintenance of ethylene production facilities. As a subsidiary of Westlake Chemical Corporation, Westlake Chemical Partners LP operates ethylene production facilities in the United States. The company's operations primarily involve the production of ethylene, which is a key building block used in the petrochemical industry for the production of a wide range of consumer and industrial products."
Consolidated Edison,ED,264,2023,Utilities: Gas and Electric,Energy,NY,New York,33245,15670,1660,69065,14319,"Consolidated Edison, Inc., commonly known as Con Edison, is one of the largest investor-owned energy companies in the United States. It provides a wide range of energy-related products and services to its customers in New York City and Westchester County. Con Edison is primarily involved in the transmission and distribution of electricity and natural gas. The company also operates renewable energy projects and offers energy efficiency programs to promote sustainability and reduce environmental impact. Con Edison has a long history dating back to the 19th century and has played a crucial role in powering the growth and development of New York City."
Gap,GPS,265,2023,Specialty Retailers: Apparel,Retailing,CA,San Francisco,7676,15616,202,11386,95000,"The Gap, Inc. is an American worldwide clothing and accessories retailer. The company was founded in 1969 by Donald Fisher and Doris F. Fisher and has since grown to become one of the world's largest specialty retailers. The Gap operates several well-known brands, including Gap, Old Navy, Banana Republic, Athleta, and Intermix. The company is known for its casual clothing and accessories for men, women, and children, as well as its commitment to sustainability and social responsibility."
Opendoor Technologies,OPEN,266,2023,Internet Services and Retailing,Technology,AZ,Tempe,1521,15567,1353,6608,2570,"Opendoor Technologies Inc. is an American real estate technology company that operates an online marketplace for buying and selling homes. The company utilizes technology to streamline the real estate transaction process, allowing homeowners to sell their properties quickly and conveniently. Opendoor was founded in 2014 and has since grown to become a significant player in the real estate industry, providing an alternative to traditional home buying and selling methods."
Nordstrom,JWN,267,2023,General Merchandisers,Retailing,WA,Seattle,3482,15530,245,8745,60000,"Nordstrom, Inc. is an American luxury department store chain founded in 1901 by John W. Nordstrom and Carl F. Wallin. Nordstrom operates multiple retail formats, including its flagship Nordstrom stores, Nordstrom Rack, and concept stores such as Nordstrom Local. The company offers a wide range of high-end fashion apparel, shoes, accessories, and beauty products from various brands. Known for its exceptional customer service and upscale shopping experience, Nordstrom has established itself as a prominent retailer in the fashion industry."
Asbury Automotive Group,ABG,268,2023,"Automotive Retailing, Services",Retailing,GA,Duluth,4736,15434,997,8021,13000,"Asbury Automotive Group, Inc. is an American automotive retail and service company. It is one of the largest automotive retailers in the United States, with over 80 dealerships across various states. The company sells new and used vehicles, offers vehicle maintenance and repair services, as well as sells automotive parts and accessories. Asbury Automotive Group, Inc. represents multiple automotive brands and has a significant presence in the automotive retail industry."
Ball,BALL,269,2023,"Packaging, Containers",Materials,CO,Westminster,21764,15349,719,19909,21000,"Ball Corporation is an American company headquartered in Broomfield, Colorado. It is best known for its production of metal packaging, primarily for beverages and food, as well as aerospace and other technologies and services. Ball Corporation was founded in 1880 by five brothers as a manufacturer of tin cans. Over the years, the company has expanded its product offerings and global presence. Today, Ball Corporation is a leading supplier of sustainable packaging solutions and aerospace technology."
Kellogg,K,270,2023,Food Consumer Products,"Food, Beverages & Tobacco",MI,Battle Creek,21074,15315,960,18496,30000,"The Kellogg Company is an American multinational food manufacturing company that produces cereal and convenience foods, including cookies, crackers, and toaster pastries. The company's brands include Kellogg's, Keebler, Pringles, Eggo, Cheez-It, and Morningstar Farms. Kellogg's mission is to nourish families so they can flourish and thrive. The company was founded in 1906 by Will Keith Kellogg and is headquartered in Battle Creek, Michigan."
Xcel Energy,XEL,271,2023,Utilities: Gas and Electric,Energy,MN,Minneapolis,30849,15310,1736,61188,11982,"Xcel Energy Inc. is a large utility holding company based in the United States. It provides electricity and natural gas services to customers in eight states, including Colorado, Michigan, Minnesota, New Mexico, North Dakota, South Dakota, Texas, and Wisconsin. Xcel Energy is known for its focus on renewable energy and has been a leader in wind and solar power generation. The company serves millions of customers and is committed to providing safe, reliable, and clean energy solutions."
W.W. Grainger,GWW,272,2023,Wholesalers: Diversified,Wholesalers,IL,Lake Forest,47360,15228,1547,7588,24500,"W.W. Grainger, Inc. is an American Fortune 500 industrial supply company founded in 1927. It is a distributor of maintenance, repair, and operating (MRO) products, with operations primarily in North America, Europe, and Asia. Grainger serves more than 3 million customers worldwide and offers a wide range of products including electrical and lighting supplies, power tools, safety equipment, and janitorial supplies. The company also provides inventory management and technical support services to help businesses streamline their procurement processes."
Discover Financial Services,DFS,273,2023,Commercial Banks,Financials,IL,Riverwoods,31152,15202,4392,131628,20200,"Discover Financial Services is an American financial services company that operates as a direct banking and payment services company. It is known for its credit card line, which includes the Discover Card, and its various banking products such as savings accounts, certificates of deposit, and personal loans. Discover also offers payment processing services for merchants and cash access at ATMs.
Discover is one of the largest card issuers in the United States and is known for its customer-friendly approach and innovative services, such as cashback rewards and no annual fees on many of its products. The company was founded in 1985 and has since grown to become a prominent player in the financial services industry."
Baxter International,BAX,274,2023,Medical Products and Equipment,Health Care,IL,Deerfield,17504,15113,2433,28287,60000,"Baxter International Inc. is an American multinational healthcare company that develops, manufactures, and markets products for people with hemophilia, immune disorders, infectious diseases, kidney disease, trauma, and other chronic medical conditions. The company also provides products and services for healthcare providers, including pharmacy compounding, drug formulation services, and intravenous (IV) nutrition. Baxter International Inc. is known for its innovative medical technologies and has a focus on advancing patient care around the world."
Southwestern Energy,SWN,275,2023,"Mining, Crude-Oil Production",Energy,TX,Spring,8117,15002,1849,12926,1118,"Southwestern Energy Company is an American energy company primarily engaged in natural gas and oil exploration, production, and marketing. The company was founded in 1929 and has grown to become a prominent player in the energy industry. Southwestern Energy Company operates in various basins in the United States, including the Appalachian Basin and the Arkoma Basin. The company is known for its focus on utilizing innovative technologies and sustainable practices in its operations to efficiently extract natural resources while minimizing environmental impact."
Jacobs Solutions,J,277,2023,Engineering & Construction,Engineering & Construction,TX,Dallas,17263,14923,644,14660,58350,"Jacobs Solutions Inc. is an American publicly traded company that provides professional technical services, including engineering, design, architecture, construction, operations, and maintenance. Jacobs Solutions Inc. serves various industries, including aerospace, defense, environmental, infrastructure, and petrochemical sectors. The company operates globally and has a diverse range of clients in both the public and private sectors. Their services range from consulting to project management and implementation, with a focus on sustainability and innovation."
Laboratory Corp. of America,LH,278,2023,Health Care: Pharmacy and Other Services,Health Care,NC,Burlington,16959,14877,1279,20155,75200,"Laboratory Corporation of America Holdings, commonly known as LabCorp, is an American company engaged in the business of clinical laboratory services. It is one of the largest clinical laboratory networks in the world, with a broad range of testing capabilities and diagnostic services that are used by healthcare professionals, pharmaceutical companies, and patients. LabCorp offers a comprehensive menu of laboratory tests and services, including blood tests, urinalysis, genetic testing, and infectious disease testing. The company plays a crucial role in the healthcare industry by providing accurate and timely test results to aid in the diagnosis, treatment, and prevention of diseases."
CSX,CSX,279,2023,Railroads,Transportation,FL,Jacksonville,66487,14853,4166,41912,22542,"CSX Corporation is an American holding company focused on rail transportation and real estate in North America. The company was formed in 1980 through the merger of Chessie System and Seaboard Coast Line Industries. CSX operates a Class I railroad in the eastern United States with a network that serves major markets in the Midwest and Southeast. The company provides rail, intermodal, and rail-to-truck transload services. CSX Corporation is headquartered in [location withheld]."
J.B. Hunt Transport Services,JBHT,280,2023,"Trucking, Truck Leasing",Transportation,AR,Lowell,16303,14814,969,7787,37151,"J.B. Hunt Transport Services, Inc. is a transportation and logistics company in North America. It was founded in 1961 by Johnnie Bryan Hunt, and it operates a fleet of more than 12,000 trucks and employs over 30,000 people. The company provides a variety of transportation services, including truckload, intermodal, and logistics solutions for customers across various industries. J.B. Hunt is known for its innovation in transportation technology and its commitment to sustainability and environmental responsibility."
Jackson Financial,JXN,282,2023,"Insurance: Life, Health (Stock)",Financials,MI,Lansing,5926,14551,5697,311058,3435,"Jackson Financial Inc. is a company that focuses on providing financial products and services to customers. They offer a range of retirement solutions, including annuities and investment options, to help individuals and families plan for their financial future. Jackson Financial Inc. is known for its commitment to helping customers achieve their long-term financial goals through innovative products and personalized service."
Fidelity National Information Services,FIS,283,2023,Financial Data Services,Business Services,FL,Jacksonville,42965,14528,16720,63278,69000,"Fidelity National Information Services, Inc. (FIS) is an American multinational financial services corporation headquartered in Jacksonville, Florida. FIS provides payment processing and banking software, services, and outsourcing of the associated technology. FIS was ranked second in the 2020 annual FinTech 100 list."
Berry Global Group,BERY,284,2023,"Packaging, Containers",Materials,IN,Evansville,6895,14495,766,16956,46000,"Berry Global Group, Inc. is a global manufacturer and marketer of plastic packaging products. The company produces a wide range of products including containers, bottles, closures, and prescription containers. Berry Global serves various markets such as healthcare, personal care, food and beverage, and household products. With operations in North America, Europe, Asia, and South America, Berry Global is a leading player in the plastic packaging industry."
Sempra,SRE,285,2023,Utilities: Gas and Electric,Energy,CA,San Diego,48938,14439,2138,78574,15785,"Sempra Energy is a United States-based energy services holding company. It was formed in 1998 through a merger of parent companies of two long-established, and highly respected, investor-owned utilities with rich histories dating back more than a century. Sempra Energy's subsidiary, San Diego Gas & Electric Company, is a regulated public utility that provides energy service to 3.6 million consumers in central and southern California. Sempra also owns 80% of Oncor Electric Delivery Company LLC, which is the largest electric transmission and distribution system in Texas. In addition, the company operates natural gas utilities and storage facilities in North America, as well as has operations in Mexico."
IQVIA Holdings,IQV,286,2023,Health Care: Pharmacy and Other Services,Health Care,NC,Durham,41183,14410,1091,25337,86000,"IQVIA Holdings Inc. is an American multinational company that provides a variety of services to the healthcare industry. It was formed in 2016 through the merger of IMS Health and Quintiles. IQVIA offers services including clinical research, consulting, data analytics, technology solutions, and contract research services to healthcare organizations worldwide. The company plays a crucial role in helping healthcare companies and stakeholders make informed decisions by providing them with data-driven insights and solutions. IQVIA operates in over 100 countries and employs thousands of employees globally."
O'Reilly Automotive,ORLY,287,2023,Specialty Retailers: Other,Retailing,MO,Springfield,58390,14410,2173,12628,79679,"O'Reilly Automotive, Inc. is an American retailer of automotive aftermarket parts, tools, supplies, equipment, and accessories based in the United States. The company was founded in 1957 by Charles Francis O'Reilly and his son Charles H. O'Reilly. O'Reilly Automotive operates over 5,500 stores in 47 states, offering a wide range of products for both professional service providers and do-it-yourself customers. The company is known for its extensive inventory of automotive parts and accessories, as well as its commitment to customer service and convenient store locations."
Leidos Holdings,LDOS,288,2023,Information Technology Services,Technology,VA,Reston,20271,14396,685,13071,45000,"Leidos Holdings, Inc. is an American defense, aviation, information technology, and biomedical research company. It was established in 1969 originally as ""Science Applications International Corporation"" (SAIC) before splitting into two separate entities in 2013, with one of the entities being rebranded as Leidos Holdings, Inc. Leidos provides a wide range of services including defense and intelligence, civil, and health markets. The company is known for its expertise in areas such as cybersecurity, logistics, energy, and healthcare."
Ameriprise Financial,AMP,289,2023,Diversified Financials,Financials,MN,Minneapolis,43503,14347,2559,158468,13500,"Ameriprise Financial, Inc. is an American diversified financial services company that offers a wide range of financial products and services, including wealth management, asset management, insurance, annuities, and estate planning. The company was founded in 1894 as Investors Syndicate and later became known as IDS Financial Services before adopting its current name in 2005. Ameriprise Financial serves individual and institutional clients and is a Fortune 500 company."
Omnicom Group,OMC,290,2023,"Advertising, Marketing",Business Services,NY,New York,18655,14289,1317,27003,74200,"Omnicom Group Inc. is an American global media, marketing, and corporate communications holding company, headquartered in New York City. Omnicom's services include advertising, customer relationship management, public relations, and specialty communications. The company operates a network of agencies that provide a wide range of services to clients in industries such as healthcare, financial services, telecommunications, and consumer goods. Omnicom Group is one of the world's largest advertising and marketing communications companies, with offices in over 100 countries."
Tractor Supply,TSCO,291,2023,Specialty Retailers: Other,Retailing,TN,Brentwood,30484,14205,1089,8490,36500,"Tractor Supply Company is an American retail chain that specializes in rural lifestyle products. The company was founded in 1938 and has since grown to become the largest rural lifestyle retailer in the United States. Tractor Supply Company offers a wide range of products, including agricultural supplies, livestock and pet care products, lawn and garden tools, home improvement items, and outdoor apparel. With over 1,900 stores across 49 states, Tractor Supply Company serves the needs of rural communities and customers who enjoy the outdoor lifestyle."
Corning,GLW,292,2023,"Electronics, Electrical Equipment",Industrials,NY,Corning,31335,14189,1316,29499,57500,"Corning Incorporated is an American technology company that specializes in specialty glass, ceramics, and related materials and technologies. It was founded in 1851 and is known for its innovative products in multiple industries, including telecommunications, electronics, automotive, life sciences, and more. Corning is particularly well-known for its contributions to the development of glass for products such as smartphone screens, optical fiber cables, and glass ceramics for cookware. The company has a long history of research and development and is a leading manufacturer of materials that play a crucial role in various high-tech applications."
Ecolab,ECL,293,2023,Chemicals,Chemicals,MN,St. Paul,66738,14188,1092,21464,47000,"Ecolab Inc. is an American global provider of water, hygiene, and energy technologies and services. The company specializes in developing and marketing solutions for water conservation, energy efficiency, food safety, and pollution control. Ecolab serves customers in various industries, including food and beverage, healthcare, hospitality, and industrial markets. The company is known for its focus on sustainability and environmental stewardship in helping customers address their water and energy management challenges."
Icahn Enterprises,IEP,294,2023,Diversified Financials,Financials,FL,Sunny Isles Beach,7458,14101,183,27914,20041,"Icahn Enterprises L.P. is a diversified holding company founded by American businessman Carl Icahn. The company has holdings in various industries, including real estate, transportation, energy, automotive, food packaging, metals, mining, and home fashion. Icahn Enterprises is known for its activist investing approach, where it acquires significant ownership stakes in companies and then seeks to influence their management and operations to increase shareholder value."
Keurig Dr Pepper,KDP,296,2023,Beverages,"Food, Beverages & Tobacco",MA,Burlington,46456,14057,1436,51837,28000,"Keurig Dr Pepper Inc. is a publicly traded beverage and coffee company formed in 2018 by the merger of Keurig Green Mountain and Dr Pepper Snapple Group. The company manufactures and markets a variety of non-alcoholic beverages, including soft drinks, juices, teas, and coffees. Keurig Dr Pepper Inc. is known for its popular brands such as Dr Pepper, Snapple, 7UP, Sunkist, Keurig, Green Mountain Coffee, and many others. Additionally, the company also produces and sells beverage-making systems for both home and commercial use."
Loews,L,297,2023,Insurance: Property and Casualty (Stock),Financials,NY,New York,16803,14044,1012,75494,12050,"Loews Corporation is an American diversified company with interests in insurance, offshore drilling, natural gas exploration, hotels, and packaging. The company was founded in 1954 and is a holding company with a diverse portfolio of subsidiaries operating in various industries. Loews Corporation is known for its long-term approach to investing and has a track record of acquiring and managing businesses for the long term."
Equitable Holdings,EQH,298,2023,"Insurance: Life, Health (Stock)",Financials,NY,New York,13221,14017,1785,253468,10250,"Equitable Holdings, Inc. is a financial services company that was founded in 1859 as The Equitable Life Assurance Society of the United States. It operates through its subsidiaries, providing a range of financial products and services such as life insurance, retirement planning, and investment management. Equitable Holdings, Inc. is dedicated to helping customers secure their financial futures through its various offerings and has a long history in the insurance and financial services industry."
Sonic Automotive,SAH,299,2023,"Automotive Retailing, Services",Retailing,NC,Charlotte,1920,14001,89,4978,10300,"Sonic Automotive, Inc. is a Fortune 500 company that is one of the largest automotive retailers in the United States. The company operates a network of car dealerships across the country, offering a wide range of new and pre-owned vehicles from various manufacturers. In addition to vehicle sales, Sonic Automotive also provides automotive repair and maintenance services through its service centers. The company is known for its commitment to customer service and innovation in the automotive retail industry."
Fox,FOXA,300,2023,Entertainment,Media,NY,New York,14822,13974,1205,22185,10600,"Fox Corporation is an American media company formed as a result of the acquisition of 21st Century Fox by The Walt Disney Company. It operates a variety of media properties, including Fox Broadcasting Company, Fox News, Fox Sports, and the Fox television stations group. The company also owns and operates the Fox Entertainment Group, which includes the 20th Century Fox film studio and the Fox television production group. Fox Corporation primarily focuses on news, sports, and entertainment programming through its various television channels and digital platforms."
Entergy,ETR,302,2023,Utilities: Gas and Electric,Energy,LA,New Orleans,24066,13764,1103,58595,11707,"Entergy Corporation is an American Fortune 500 company engaged in electric power production and retail distribution operations in the Southern United States. With its headquarters in New Orleans, Louisiana, Entergy is one of the largest energy providers in the United States, serving over 2.9 million customers in Arkansas, Louisiana, Mississippi, and Texas. The company was founded in 1913 and has since grown to become a major player in the energy industry, providing a significant portion of the electricity used in the Southern region of the United States. Entergy is known for its commitment to sustainability and renewable energy initiatives, as well as its efforts to improve energy efficiency and reduce carbon emissions."
Fluor,FLR,303,2023,Engineering & Construction,Engineering & Construction,TX,Irving,6976,13744,145,6827,39576,"Fluor Corporation is an American multinational engineering and construction firm. It provides services in the fields of project management, engineering, procurement, construction, and maintenance across a wide range of industries. Established in 1912, Fluor has operations in more than 60 countries and serves clients in sectors such as energy, chemicals, infrastructure, mining, and more. The company is known for its expertise in designing and building complex projects on a global scale."
Vistra,VST,304,2023,Energy,Energy,TX,Irving,32755,13728,1227,32787,4910,"Vistra Corp is an American energy company that operates in retail electricity markets in the United States. The company was formed in 2016 through the merger of two Texas-based energy companies. Vistra Corp primarily focuses on energy production, retail electricity sales, and power generation from a variety of sources including natural gas, coal, nuclear, and renewables. Additionally, Vistra Corp is involved in energy trading and provides energy services to commercial and industrial customers."
State Street,STT,305,2023,Commercial Banks,Financials,MA,Boston,23043,13692,2774,301450,42226,"State Street Corporation is an American financial services and bank holding company headquartered in Boston, Massachusetts. It was founded in 1792 and is one of the oldest financial institutions in the United States. State Street is a leading provider of financial services to institutional investors, including investment servicing, investment management, and investment research and trading. The company operates globally and has offices in major financial centers around the world. State Street is known for its role in servicing and managing trillions of dollars in assets for institutional clients such as mutual funds, pension funds, and insurance companies."
Otis Worldwide,OTIS,306,2023,Industrial Machinery,Industrials,CT,Farmington,39907,13685,1253,9819,69000,"Otis Worldwide Corporation is an American company that develops, manufactures, installs, and provides maintenance services for elevators, escalators, and moving walkways. The company was founded in 1853 by Elisha Otis and is headquartered in the United States. Otis is one of the world's largest manufacturers of vertical transportation systems and operates globally, serving a wide range of customers in various sectors including residential, commercial, and infrastructure industries."
Carvana,CVNA,308,2023,"Automotive Retailing, Services",Retailing,AZ,Tempe,23441,13604,1587,8698,16600,"Carvana Co. is an online used car retailer based in the United States. It is known for its straightforward online buying process, allowing customers to browse, purchase, finance, and trade in cars through its website. Founded in 2012, Carvana has disrupted the traditional car-buying experience by offering home delivery or pickup at its automated car vending machines, known as Car Vending Machines. The company aims to make the car-buying process easier, more transparent, and convenient for customers through its innovative online platform."
Republic Services,RSG,309,2023,Waste Management,Business Services,AZ,Phoenix,58820,13511,1488,29053,40000,"Republic Services, Inc. is an American waste management company that provides non-hazardous solid waste collection, transfer, disposal, recycling, and energy services in the United States and Puerto Rico. The company was founded in 1996 and has grown to become the second-largest waste management company in the United States. Republic Services operates a vast network of collection facilities, transfer stations, recycling centers, and landfills to manage waste efficiently and sustainably. With a focus on environmental stewardship, the company aims to minimize the impact of waste on communities and the environment through innovative recycling programs and renewable energy projects."
AECOM,ACM,310,2023,Engineering & Construction,Engineering & Construction,TX,Dallas,12148,13496,311,11139,50000,"AECOM is an American multinational engineering firm that provides design, consulting, construction, and management services to a wide range of clients. The company operates in various sectors, including transportation, water, environmental, energy, oil and gas, and government services. AECOM has a global presence, with projects in over 150 countries and approximately 87,000 employees worldwide. The company's services cover the entire project lifecycle, from initial planning and design to construction and ongoing maintenance."
Universal Health Services,UHS,311,2023,Health Care: Medical Facilities,Health Care,PA,King of Prussia,11853,13399,676,13494,82500,"Universal Health Services, Inc. (UHS) is an American Fortune 500 company that provides healthcare services. It is one of the largest hospital management companies in the United States, operating through its subsidiaries across the country. UHS offers a wide range of healthcare services, including inpatient and outpatient treatment, behavioral health services, and ambulatory care. The company is known for its high-quality healthcare facilities and is committed to providing excellent patient care and improving the overall health and well-being of the communities it serves."
VMware,VMW,313,2023,Computer Software,Technology,CA,Palo Alto,61521,13350,1314,31237,38300,"VMware, Inc. is a software company that provides cloud computing and virtualization software and services. Established in 1998, it offers a range of products and solutions for businesses to manage their IT infrastructure efficiently, including virtual machines, networking, storage, and security. VMware is known for its popular virtualization software, which allows multiple operating systems to run on a single physical computer. The company serves a wide range of industries, including technology, healthcare, finance, government, and education."
MGM Resorts International,MGM,315,2023,"Hotels, Casinos, Resorts","Hotels, Restaurants & Leisure",NV,Las Vegas,12610,13128,1473,45692,66000,"MGM Resorts International is an American global hospitality and entertainment company operating destination resorts in Las Vegas, including Bellagio, Mandalay Bay, and The Mirage. The company also has presence in other states in the United States and internationally. MGM Resorts International is known for its hotels, casinos, restaurants, shows, and other entertainment offerings. The company was founded in 1986 as MGM Grand, Inc. and later rebranded as MGM Resorts International in 2010."
