name,rank,industry,sector,headquarters_state,headquarters_city,market_value_mil,revenue_mil,profit_mil,asset_mil,employees,description
Asbury Automotive Group,268,"Automotive Retailing, Services",Retailing,GA,Duluth,4557,15434,997,8021,13000,"Asbury Automotive Group, Inc. is an American automotive retail and service company. It is one of the largest automotive retailers in the United States, with over 80 dealerships across various states. The company sells new and used vehicles, offers vehicle maintenance and repair services, as well as sells automotive parts and accessories. Asbury Automotive Group, Inc. represents multiple automotive brands and has a significant presence in the automotive retail industry."
Ball,269,"Packaging, Containers",Materials,CO,Westminster,17326,15349,719,19909,21000,"Ball Corporation is an American company headquartered in Broomfield, Colorado. It is best known for its production of metal packaging, primarily for beverages and food, as well as aerospace and other technologies and services. Ball Corporation was founded in 1880 by five brothers as a manufacturer of tin cans. Over the years, the company has expanded its product offerings and global presence. Today, Ball Corporation is a leading supplier of sustainable packaging solutions and aerospace technology."
Kellogg,270,Food Consumer Products,"Food, Beverages & Tobacco",MI,Battle Creek,22945,15315,960,18496,30000,"The Kellogg Company is an American multinational food manufacturing company that produces cereal and convenience foods, including cookies, crackers, and toaster pastries. The company's brands include Kellogg's, Keebler, Pringles, Eggo, Cheez-It, and Morningstar Farms. Kellogg's mission is to nourish families so they can flourish and thrive. The company was founded in 1906 by Will Keith Kellogg and is headquartered in Battle Creek, Michigan."
Xcel Energy,271,Utilities: Gas and Electric,Energy,MN,Minneapolis,37082,15310,1736,61188,11982,"Xcel Energy Inc. is a large utility holding company based in the United States. It provides electricity and natural gas services to customers in eight states, including Colorado, Michigan, Minnesota, New Mexico, North Dakota, South Dakota, Texas, and Wisconsin. Xcel Energy is known for its focus on renewable energy and has been a leader in wind and solar power generation. The company serves millions of customers and is committed to providing safe, reliable, and clean energy solutions."
W.W. Grainger,272,Wholesalers: Diversified,Wholesalers,IL,Lake Forest,34622,15228,1547,7588,24500,"W.W. Grainger, Inc. is an American Fortune 500 industrial supply company founded in 1927. It is a distributor of maintenance, repair, and operating (MRO) products, with operations primarily in North America, Europe, and Asia. Grainger serves more than 3 million customers worldwide and offers a wide range of products including electrical and lighting supplies, power tools, safety equipment, and janitorial supplies. The company also provides inventory management and technical support services to help businesses streamline their procurement processes."
Discover Financial Services,273,Commercial Banks,Financials,IL,Riverwoods,25635,15202,4392,131628,20200,"Discover Financial Services is an American financial services company that operates as a direct banking and payment services company. It is known for its credit card line, which includes the Discover Card, and its various banking products such as savings accounts, certificates of deposit, and personal loans. Discover also offers payment processing services for merchants and cash access at ATMs.
Discover is one of the largest card issuers in the United States and is known for its customer-friendly approach and innovative services, such as cashback rewards and no annual fees on many of its products. The company was founded in 1985 and has since grown to become a prominent player in the financial services industry."
Baxter International,274,Medical Products and Equipment,Health Care,IL,Deerfield,20504,15113,2433,28287,60000,"Baxter International Inc. is an American multinational healthcare company that develops, manufactures, and markets products for people with hemophilia, immune disorders, infectious diseases, kidney disease, trauma, and other chronic medical conditions. The company also provides products and services for healthcare providers, including pharmacy compounding, drug formulation services, and intravenous (IV) nutrition. Baxter International Inc. is known for its innovative medical technologies and has a focus on advancing patient care around the world."
Southwestern Energy,275,"Mining, Crude-Oil Production",Energy,TX,Spring,5506,15002,1849,12926,1118,"Southwestern Energy Company is an American energy company primarily engaged in natural gas and oil exploration, production, and marketing. The company was founded in 1929 and has grown to become a prominent player in the energy industry. Southwestern Energy Company operates in various basins in the United States, including the Appalachian Basin and the Arkoma Basin. The company is known for its focus on utilizing innovative technologies and sustainable practices in its operations to efficiently extract natural resources while minimizing environmental impact."
DCP Midstream,276,Pipelines,Energy,CO,Denver,8701,14993,1052,13334,1910,"DCP Midstream, LP is a Fortune 500 company that specializes in natural gas liquids (NGLs) and crude oil logistics, marketing, gathering, and processing. The company operates across the United States, with a focus on the development of energy infrastructure and the transportation of energy products. DCP Midstream, LP is known for its strategic partnerships with leading energy companies and its commitment to innovation in the energy sector."
Jacobs Solutions,277,Engineering & Construction,Engineering & Construction,TX,Dallas,14890,14923,644,14660,58350,"Jacobs Solutions Inc. is an American publicly traded company that provides professional technical services, including engineering, design, architecture, construction, operations, and maintenance. Jacobs Solutions Inc. serves various industries, including aerospace, defense, environmental, infrastructure, and petrochemical sectors. The company operates globally and has a diverse range of clients in both the public and private sectors. Their services range from consulting to project management and implementation, with a focus on sustainability and innovation."
Laboratory Corp. of America,278,Health Care: Pharmacy and Other Services,Health Care,NC,Burlington,20304,14877,1279,20155,75200,"Laboratory Corporation of America Holdings, commonly known as LabCorp, is an American company engaged in the business of clinical laboratory services. It is one of the largest clinical laboratory networks in the world, with a broad range of testing capabilities and diagnostic services that are used by healthcare professionals, pharmaceutical companies, and patients. LabCorp offers a comprehensive menu of laboratory tests and services, including blood tests, urinalysis, genetic testing, and infectious disease testing. The company plays a crucial role in the healthcare industry by providing accurate and timely test results to aid in the diagnosis, treatment, and prevention of diseases."
CSX,279,Railroads,Transportation,FL,Jacksonville,61330,14853,4166,41912,22542,"CSX Corporation is an American holding company focused on rail transportation and real estate in North America. The company was formed in 1980 through the merger of Chessie System and Seaboard Coast Line Industries. CSX operates a Class I railroad in the eastern United States with a network that serves major markets in the Midwest and Southeast. The company provides rail, intermodal, and rail-to-truck transload services. CSX Corporation is headquartered in [location withheld]."
J.B. Hunt Transport Services,280,"Trucking, Truck Leasing",Transportation,AR,Lowell,18208,14814,969,7787,37151,"J.B. Hunt Transport Services, Inc. is a transportation and logistics company in North America. It was founded in 1961 by Johnnie Bryan Hunt, and it operates a fleet of more than 12,000 trucks and employs over 30,000 people. The company provides a variety of transportation services, including truckload, intermodal, and logistics solutions for customers across various industries. J.B. Hunt is known for its innovation in transportation technology and its commitment to sustainability and environmental responsibility."
Jackson Financial,282,"Insurance: Life, Health (Stock)",Financials,MI,Lansing,3078,14551,5697,311058,3435,"Jackson Financial Inc. is a company that focuses on providing financial products and services to customers. They offer a range of retirement solutions, including annuities and investment options, to help individuals and families plan for their financial future. Jackson Financial Inc. is known for its commitment to helping customers achieve their long-term financial goals through innovative products and personalized service."
Fidelity National Information Services,283,Financial Data Services,Business Services,FL,Jacksonville,32160,14528,16720,63278,69000,"Fidelity National Information Services, Inc. (FIS) is an American multinational financial services corporation headquartered in Jacksonville, Florida. FIS provides payment processing and banking software, services, and outsourcing of the associated technology. FIS was ranked second in the 2020 annual FinTech 100 list."
Berry Global Group,284,"Packaging, Containers",Materials,IN,Evansville,7151,14495,766,16956,46000,"Berry Global Group, Inc. is a global manufacturer and marketer of plastic packaging products. The company produces a wide range of products including containers, bottles, closures, and prescription containers. Berry Global serves various markets such as healthcare, personal care, food and beverage, and household products. With operations in North America, Europe, Asia, and South America, Berry Global is a leading player in the plastic packaging industry."
Sempra,285,Utilities: Gas and Electric,Energy,CA,San Diego,47563,14439,2138,78574,15785,"Sempra Energy is a United States-based energy services holding company. It was formed in 1998 through a merger of parent companies of two long-established, and highly respected, investor-owned utilities with rich histories dating back more than a century. Sempra Energy's subsidiary, San Diego Gas & Electric Company, is a regulated public utility that provides energy service to 3.6 million consumers in central and southern California. Sempra also owns 80% of Oncor Electric Delivery Company LLC, which is the largest electric transmission and distribution system in Texas. In addition, the company operates natural gas utilities and storage facilities in North America, as well as has operations in Mexico."
IQVIA Holdings,286,Health Care: Pharmacy and Other Services,Health Care,NC,Durham,37022,14410,1091,25337,86000,"IQVIA Holdings Inc. is an American multinational company that provides a variety of services to the healthcare industry. It was formed in 2016 through the merger of IMS Health and Quintiles. IQVIA offers services including clinical research, consulting, data analytics, technology solutions, and contract research services to healthcare organizations worldwide. The company plays a crucial role in helping healthcare companies and stakeholders make informed decisions by providing them with data-driven insights and solutions. IQVIA operates in over 100 countries and employs thousands of employees globally."
O'Reilly Automotive,287,Specialty Retailers: Other,Retailing,MO,Springfield,52269,14410,2173,12628,79679,"O'Reilly Automotive, Inc. is an American retailer of automotive aftermarket parts, tools, supplies, equipment, and accessories based in the United States. The company was founded in 1957 by Charles Francis O'Reilly and his son Charles H. O'Reilly. O'Reilly Automotive operates over 5,500 stores in 47 states, offering a wide range of products for both professional service providers and do-it-yourself customers. The company is known for its extensive inventory of automotive parts and accessories, as well as its commitment to customer service and convenient store locations."
Leidos Holdings,288,Information Technology Services,Technology,VA,Reston,12630,14396,685,13071,45000,"Leidos Holdings, Inc. is an American defense, aviation, information technology, and biomedical research company. It was established in 1969 originally as ""Science Applications International Corporation"" (SAIC) before splitting into two separate entities in 2013, with one of the entities being rebranded as Leidos Holdings, Inc. Leidos provides a wide range of services including defense and intelligence, civil, and health markets. The company is known for its expertise in areas such as cybersecurity, logistics, energy, and healthcare."
Ameriprise Financial,289,Diversified Financials,Financials,MN,Minneapolis,32228,14347,2559,158468,13500,"Ameriprise Financial, Inc. is an American diversified financial services company that offers a wide range of financial products and services, including wealth management, asset management, insurance, annuities, and estate planning. The company was founded in 1894 as Investors Syndicate and later became known as IDS Financial Services before adopting its current name in 2005. Ameriprise Financial serves individual and institutional clients and is a Fortune 500 company."
Omnicom Group,290,"Advertising, Marketing",Business Services,NY,New York,19001,14289,1317,27003,74200,"Omnicom Group Inc. is an American global media, marketing, and corporate communications holding company, headquartered in New York City. Omnicom's services include advertising, customer relationship management, public relations, and specialty communications. The company operates a network of agencies that provide a wide range of services to clients in industries such as healthcare, financial services, telecommunications, and consumer goods. Omnicom Group is one of the world's largest advertising and marketing communications companies, with offices in over 100 countries."
Tractor Supply,291,Specialty Retailers: Other,Retailing,TN,Brentwood,25830,14205,1089,8490,36500,"Tractor Supply Company is an American retail chain that specializes in rural lifestyle products. The company was founded in 1938 and has since grown to become the largest rural lifestyle retailer in the United States. Tractor Supply Company offers a wide range of products, including agricultural supplies, livestock and pet care products, lawn and garden tools, home improvement items, and outdoor apparel. With over 1,900 stores across 49 states, Tractor Supply Company serves the needs of rural communities and customers who enjoy the outdoor lifestyle."
Corning,292,"Electronics, Electrical Equipment",Industrials,NY,Corning,29890,14189,1316,29499,57500,"Corning Incorporated is an American technology company that specializes in specialty glass, ceramics, and related materials and technologies. It was founded in 1851 and is known for its innovative products in multiple industries, including telecommunications, electronics, automotive, life sciences, and more. Corning is particularly well-known for its contributions to the development of glass for products such as smartphone screens, optical fiber cables, and glass ceramics for cookware. The company has a long history of research and development and is a leading manufacturer of materials that play a crucial role in various high-tech applications."
Ecolab,293,Chemicals,Chemicals,MN,St. Paul,47121,14188,1092,21464,47000,"Ecolab Inc. is an American global provider of water, hygiene, and energy technologies and services. The company specializes in developing and marketing solutions for water conservation, energy efficiency, food safety, and pollution control. Ecolab serves customers in various industries, including food and beverage, healthcare, hospitality, and industrial markets. The company is known for its focus on sustainability and environmental stewardship in helping customers address their water and energy management challenges."
Icahn Enterprises,294,Diversified Financials,Financials,FL,Sunny Isles Beach,18283,14101,183,27914,20041,"Icahn Enterprises L.P. is a diversified holding company founded by American businessman Carl Icahn. The company has holdings in various industries, including real estate, transportation, energy, automotive, food packaging, metals, mining, and home fashion. Icahn Enterprises is known for its activist investing approach, where it acquires significant ownership stakes in companies and then seeks to influence their management and operations to increase shareholder value."
Keurig Dr Pepper,296,Beverages,"Food, Beverages & Tobacco",MA,Burlington,49620,14057,1436,51837,28000,"Keurig Dr Pepper Inc. is a publicly traded beverage and coffee company formed in 2018 by the merger of Keurig Green Mountain and Dr Pepper Snapple Group. The company manufactures and markets a variety of non-alcoholic beverages, including soft drinks, juices, teas, and coffees. Keurig Dr Pepper Inc. is known for its popular brands such as Dr Pepper, Snapple, 7UP, Sunkist, Keurig, Green Mountain Coffee, and many others. Additionally, the company also produces and sells beverage-making systems for both home and commercial use."
Loews,297,Insurance: Property and Casualty (Stock),Financials,NY,New York,13395,14044,1012,75494,12050,"Loews Corporation is an American diversified company with interests in insurance, offshore drilling, natural gas exploration, hotels, and packaging. The company was founded in 1954 and is a holding company with a diverse portfolio of subsidiaries operating in various industries. Loews Corporation is known for its long-term approach to investing and has a track record of acquiring and managing businesses for the long term."
Equitable Holdings,298,"Insurance: Life, Health (Stock)",Financials,NY,New York,9186,14017,1785,253468,10250,"Equitable Holdings, Inc. is a financial services company that was founded in 1859 as The Equitable Life Assurance Society of the United States. It operates through its subsidiaries, providing a range of financial products and services such as life insurance, retirement planning, and investment management. Equitable Holdings, Inc. is dedicated to helping customers secure their financial futures through its various offerings and has a long history in the insurance and financial services industry."
Sonic Automotive,299,"Automotive Retailing, Services",Retailing,NC,Charlotte,1930,14001,89,4978,10300,"Sonic Automotive, Inc. is a Fortune 500 company that is one of the largest automotive retailers in the United States. The company operates a network of car dealerships across the country, offering a wide range of new and pre-owned vehicles from various manufacturers. In addition to vehicle sales, Sonic Automotive also provides automotive repair and maintenance services through its service centers. The company is known for its commitment to customer service and innovation in the automotive retail industry."
Fox,300,Entertainment,Media,NY,New York,17551,13974,1205,22185,10600,"Fox Corporation is an American media company formed as a result of the acquisition of 21st Century Fox by The Walt Disney Company. It operates a variety of media properties, including Fox Broadcasting Company, Fox News, Fox Sports, and the Fox television stations group. The company also owns and operates the Fox Entertainment Group, which includes the 20th Century Fox film studio and the Fox television production group. Fox Corporation primarily focuses on news, sports, and entertainment programming through its various television channels and digital platforms."
Entergy,302,Utilities: Gas and Electric,Energy,LA,New Orleans,22851,13764,1103,58595,11707,"Entergy Corporation is an American Fortune 500 company engaged in electric power production and retail distribution operations in the Southern United States. With its headquarters in New Orleans, Louisiana, Entergy is one of the largest energy providers in the United States, serving over 2.9 million customers in Arkansas, Louisiana, Mississippi, and Texas. The company was founded in 1913 and has since grown to become a major player in the energy industry, providing a significant portion of the electricity used in the Southern region of the United States. Entergy is known for its commitment to sustainability and renewable energy initiatives, as well as its efforts to improve energy efficiency and reduce carbon emissions."
Fluor,303,Engineering & Construction,Engineering & Construction,TX,Irving,4392,13744,145,6827,39576,"Fluor Corporation is an American multinational engineering and construction firm. It provides services in the fields of project management, engineering, procurement, construction, and maintenance across a wide range of industries. Established in 1912, Fluor has operations in more than 60 countries and serves clients in sectors such as energy, chemicals, infrastructure, mining, and more. The company is known for its expertise in designing and building complex projects on a global scale."
Vistra,304,Energy,Energy,TX,Irving,9155,13728,1227,32787,4910,"Vistra Corp is an American energy company that operates in retail electricity markets in the United States. The company was formed in 2016 through the merger of two Texas-based energy companies. Vistra Corp primarily focuses on energy production, retail electricity sales, and power generation from a variety of sources including natural gas, coal, nuclear, and renewables. Additionally, Vistra Corp is involved in energy trading and provides energy services to commercial and industrial customers."
State Street,305,Commercial Banks,Financials,MA,Boston,26074,13692,2774,301450,42226,"State Street Corporation is an American financial services and bank holding company headquartered in Boston, Massachusetts. It was founded in 1792 and is one of the oldest financial institutions in the United States. State Street is a leading provider of financial services to institutional investors, including investment servicing, investment management, and investment research and trading. The company operates globally and has offices in major financial centers around the world. State Street is known for its role in servicing and managing trillions of dollars in assets for institutional clients such as mutual funds, pension funds, and insurance companies."
Otis Worldwide,306,Industrial Machinery,Industrials,CT,Farmington,35015,13685,1253,9819,69000,"Otis Worldwide Corporation is an American company that develops, manufactures, installs, and provides maintenance services for elevators, escalators, and moving walkways. The company was founded in 1853 by Elisha Otis and is headquartered in the United States. Otis is one of the world's largest manufacturers of vertical transportation systems and operates globally, serving a wide range of customers in various sectors including residential, commercial, and infrastructure industries."
Carvana,308,"Automotive Retailing, Services",Retailing,AZ,Tempe,1761,13604,1587,8698,16600,"Carvana Co. is an online used car retailer based in the United States. It is known for its straightforward online buying process, allowing customers to browse, purchase, finance, and trade in cars through its website. Founded in 2012, Carvana has disrupted the traditional car-buying experience by offering home delivery or pickup at its automated car vending machines, known as Car Vending Machines. The company aims to make the car-buying process easier, more transparent, and convenient for customers through its innovative online platform."
Republic Services,309,Waste Management,Business Services,AZ,Phoenix,42763,13511,1488,29053,40000,"Republic Services, Inc. is an American waste management company that provides non-hazardous solid waste collection, transfer, disposal, recycling, and energy services in the United States and Puerto Rico. The company was founded in 1996 and has grown to become the second-largest waste management company in the United States. Republic Services operates a vast network of collection facilities, transfer stations, recycling centers, and landfills to manage waste efficiently and sustainably. With a focus on environmental stewardship, the company aims to minimize the impact of waste on communities and the environment through innovative recycling programs and renewable energy projects."
AECOM,310,Engineering & Construction,Engineering & Construction,TX,Dallas,11716,13496,311,11139,50000,"AECOM is an American multinational engineering firm that provides design, consulting, construction, and management services to a wide range of clients. The company operates in various sectors, including transportation, water, environmental, energy, oil and gas, and government services. AECOM has a global presence, with projects in over 150 countries and approximately 87,000 employees worldwide. The company's services cover the entire project lifecycle, from initial planning and design to construction and ongoing maintenance."
Universal Health Services,311,Health Care: Medical Facilities,Health Care,PA,King of Prussia,8982,13399,676,13494,82500,"Universal Health Services, Inc. (UHS) is an American Fortune 500 company that provides healthcare services. It is one of the largest hospital management companies in the United States, operating through its subsidiaries across the country. UHS offers a wide range of healthcare services, including inpatient and outpatient treatment, behavioral health services, and ambulatory care. The company is known for its high-quality healthcare facilities and is committed to providing excellent patient care and improving the overall health and well-being of the communities it serves."
VMware,313,Computer Software,Technology,CA,Palo Alto,53496,13350,1314,31237,38300,"VMware, Inc. is a software company that provides cloud computing and virtualization software and services. Established in 1998, it offers a range of products and solutions for businesses to manage their IT infrastructure efficiently, including virtual machines, networking, storage, and security. VMware is known for its popular virtualization software, which allows multiple operating systems to run on a single physical computer. The company serves a wide range of industries, including technology, healthcare, finance, government, and education."
MGM Resorts International,315,"Hotels, Casinos, Resorts","Hotels, Restaurants & Leisure",NV,Las Vegas,16564,13128,1473,45692,66000,"MGM Resorts International is an American global hospitality and entertainment company operating destination resorts in Las Vegas, including Bellagio, Mandalay Bay, and The Mirage. The company also has presence in other states in the United States and internationally. MGM Resorts International is known for its hotels, casinos, restaurants, shows, and other entertainment offerings. The company was founded in 1986 as MGM Grand, Inc. and later rebranded as MGM Resorts International in 2010."
Casey's General Stores,316,Specialty Retailers: Other,Retailing,IA,Ankeny,8066,12953,340,5506,31466,"Casey's General Stores, Inc. is a chain of convenience stores operating in the Midwestern and Southern United States. The company is headquartered in the United States and operates more than 2,200 stores in 16 states. Casey's General Stores offers a variety of products and services, including gasoline, grocery items, prepared foods, and other convenience store merchandise. The company was founded in 1959 and has grown to become a prominent player in the convenience store industry in the United States."
Crown Holdings,317,"Packaging, Containers",Materials,FL,Tampa,9934,12943,727,14301,26000,"Crown Holdings, Inc. is an American company that specializes in the design, manufacture, and sale of packaging products for consumer goods. The company's product portfolio includes metal beverage cans, aerosol cans, food cans, metal closures, and specialty packaging. Crown Holdings serves customers in various industries, including beverage, food, household products, personal care, and promotional packaging. With operations in multiple countries, Crown Holdings is a leading global supplier of packaging products."
Textron,318,Aerospace & Defense,Aerospace & Defense,RI,Providence,14385,12869,861,16293,34000,"Textron Inc. is an American industrial conglomerate that encompasses several businesses including aircraft, defense, industrial, and finance. The company is headquartered in the United States and operates through its various subsidiaries in industries such as aviation, defense, industrial products, and finance. Textron is known for its diverse range of products and services, including Cessna and Beechcraft airplanes, Bell helicopters, and various defense and industrial products. With a history dating back to the early 20th century, Textron has established itself as a prominent player in the manufacturing and defense sectors."
LKQ,319,Wholesalers: Diversified,Wholesalers,IL,Chicago,15171,12794,1149,12038,45000,"LKQ Corporation is an American provider of alternative and specialty parts and accessories for automobiles, as well as for other vehicles like heavy-duty trucks, and recreational vehicles. The company operates a network of more than 1,400 locations in North America, Europe, and Taiwan. LKQ sells aftermarket parts, recycled OE parts, and re manufactured components, playing a key role in the automotive repair industry. The company was founded in 1998 and has since grown to become a leading player in the automotive aftermarket sector."
Norfolk Southern,320,Railroads,Transportation,GA,Atlanta,48257,12745,3270,38885,19300,"Norfolk Southern Corporation is a Class I freight railroad in the United States. The company has a significant presence in the Southeast, East, and Midwest regions of the country. Norfolk Southern operates approximately 19,500 route miles in 22 states and the District of Columbia, serving major container ports in the eastern United States. The company primarily transports coal, intermodal containers, automotive products, and industrial products. Norfolk Southern Corporation was established in 1982 through the merger of two historic railroads, the Norfolk and Western Railway and the Southern Railway."
Intuit,321,Computer Software,Technology,CA,Mountain View,125076,12726,2066,27734,21850,"Intuit Inc. is an American financial software company that develops and sells financial, accounting, and tax preparation software for individuals, small businesses, and accountants. The company's flagship products include QuickBooks, TurboTax, and Mint. Intuit was founded in 1983 and has since grown to become a leading provider of financial management software."
Air Products & Chemicals,322,Chemicals,Chemicals,PA,Allentown,63784,12699,2256,27193,20805,"Air Products and Chemicals, Inc. is an American international corporation that sells gases and chemicals for industrial use. The company is a leading supplier of gases for various industries, including refining, chemical, metals, electronics, manufacturing, and food and beverage. Air Products is also involved in the development of technology for the recovery of helium, hydrogen, and natural gas. The company has a presence in over 50 countries and serves customers in a wide range of industries worldwide."
Boston Scientific,323,Medical Products and Equipment,Health Care,MA,Marlborough,71910,12682,698,32469,45000,"Boston Scientific Corporation is an American company that specializes in the development and manufacturing of medical devices used in interventional medical specialties, including interventional cardiology, peripheral interventions, cardiac rhythm management, electrophysiology, neurovascular intervention, oncology, endoscopy, urology, and pelvic health. The company was founded in 1979 and is known for its innovative products aimed at improving the lives of patients around the world. With a focus on advancing science, investing in research and development, and collaborating with healthcare professionals, Boston Scientific Corporation aims to provide cutting-edge medical solutions for a wide range of health conditions."
AGCO,324,Construction and Farm Machinery,Industrials,GA,Duluth,10119,12651,890,10104,25600,"AGCO Corporation is an American agricultural machinery manufacturer based in the United States. It was founded in 1990 and is one of the world's leading manufacturers of agricultural equipment, providing machinery such as tractors, combines, hay tools, sprayers, and forage equipment. AGCO serves customers worldwide, offering a wide range of products for various agricultural needs, including planters, seeders, and tillage equipment. The company's mission is to help farmers feed the world efficiently and sustainably through innovative technologies and solutions."
Henry Schein,325,Wholesalers: Health Care,Health Care,NY,Melville,10705,12647,538,8607,22000,"Henry Schein, Inc. is an American distributor of healthcare products and services with a focus on dental, animal health, and medical practitioners. The company was founded in 1932 and has since grown to become a major player in the healthcare industry. Henry Schein provides a wide range of products and services including dental supplies, medical equipment, pharmaceuticals, and practice management software. The company is known for its commitment to customer service and innovation in the healthcare sector."
Amphenol,326,Network and Other Communications Equipment,Technology,CT,Wallingford,48591,12623,1902,15326,91000,"Amphenol Corporation is a major producer of interconnect products. The company designs, manufactures, and markets electrical, electronic, and fiber optic connectors, as well as cable and interconnect systems. Amphenol operates in the aerospace, automotive, industrial, information technology, mobile networks, mobile devices, and data communication markets. The company was founded in 1932 and is currently one of the largest manufacturers of interconnect products in the world."
AES,327,Utilities: Gas and Electric,Energy,VA,Arlington,16110,12617,546,38363,9100,"The AES Corporation is a multinational energy company that operates in several countries around the world. It generates and distributes electrical power through a mix of diversified technologies, including coal, gas, oil, and renewable sources. The company focuses on providing sustainable and affordable energy solutions to its customers. AES is known for its innovation in energy storage systems and has been a pioneer in developing grid-scale battery storage technology."
Ovintiv,329,"Mining, Crude-Oil Production",Energy,CO,Denver,8772,12464,3637,15056,1744,"Ovintiv Inc. is a leading North American energy producer that engages in the exploration, development, and production of oil, natural gas, and natural gas liquids. The company focuses on creating long-term value through innovative practices and technology in the energy sector. Ovintiv operates in key resource plays in North America and is committed to responsible development and sustainable energy practices."
Hormel Foods,330,Food Consumer Products,"Food, Beverages & Tobacco",MN,Austin,21796,12459,1000,13307,20000,"Hormel Foods Corporation is an American food company that produces and markets various meat and food products worldwide. The company was founded in 1891 in Austin, Minnesota, and has since grown to become a leading player in the food industry. Hormel is known for its popular brands such as Spam, Dinty Moore, Skippy, Jennie-O, and Hormel Chili. The company operates through several divisions, including refrigerated foods, grocery products, and international, serving both retail and foodservice customers. Hormel Foods Corporation is committed to producing high-quality and innovative food products while also focusing on sustainability and corporate responsibility."
Alcoa,331,Metals,Materials,PA,Pittsburgh,7591,12451,123,14756,13100,"Alcoa Corporation is an American industrial corporation that specializes in the production of bauxite, alumina, and aluminum products. It was founded as the Aluminum Company of America in 1888, and later changed its name to Alcoa Corporation in 2016. Alcoa is one of the world's largest producers of primary aluminum, fabricated aluminum, and alumina, with operations in over 10 countries. The company is known for its innovation in aluminum production and has a significant presence in the aerospace, automotive, and construction industries."
International Flavors & Fragrances,332,Chemicals,Chemicals,NY,New York,23456,12440,1871,35407,24600,"International Flavors & Fragrances Inc. (IFF) is an American corporation that specializes in the manufacturing and supply of flavors, fragrances, and cosmetic actives. The company's products are used in a wide range of consumer goods, including food and beverages, beauty and personal care products, household products, and pharmaceuticals. IFF operates globally and collaborates with customers in creating unique and appealing scents and tastes for their products. The company focuses on innovation, sustainability, and creating sensory experiences that enhance the daily lives of consumers around the world."
Dick's Sporting Goods,334,Specialty Retailers: Other,Retailing,PA,Coraopolis,12148,12368,1043,8992,35800,"DICK'S Sporting Goods, Inc. is an American sporting goods retail company, specializing in athletic apparel, footwear, equipment, and accessories. The company was founded in 1948 by Richard ""Dick"" Stack and is headquartered in the United States. DICK'S Sporting Goods operates over 850 stores across the country and is one of the largest sporting goods retailers in the United States. The company offers a wide range of products for sports such as baseball, basketball, football, golf, soccer, and more, catering to athletes of all ages and skill levels."
Eversource Energy,335,Utilities: Gas and Electric,Energy,MA,Springfield,27287,12289,1405,53231,9626,"Eversource Energy is a publicly traded utility company that operates as a holding company for several regulated electric utilities and natural gas utilities. Headquartered in the United States, the company serves over 3.7 million customers in Connecticut, Massachusetts, and New Hampshire. Eversource Energy is involved in the transmission and distribution of electricity and natural gas, as well as in energy delivery services. The company is focused on providing reliable energy services to its customers while also promoting sustainability and environmental stewardship."
Wayfair,336,Internet Services and Retailing,Retailing,MA,Boston,3796,12218,1331,3580,15745,"Wayfair Inc. is an American e-commerce company that sells furniture and home-goods. It was founded in 2002 and is headquartered in the United States. Wayfair operates through e-commerce websites in multiple countries, offering a wide range of products including furniture, decor, home improvement, appliances, and more. The company is known for its vast selection of products and competitive pricing, catering to customers looking to furnish or decorate their homes."
Community Health Systems,337,Health Care: Medical Facilities,Health Care,TN,Franklin,670,12211,46,14669,58500,"Community Health Systems, Inc. (CHS) is a publicly traded healthcare company that owns, leases, and operates hospitals, clinics, and other healthcare facilities in the United States. CHS was founded in 1985 and has grown to become one of the largest hospital networks in the country. The company provides a wide range of healthcare services, including acute care, outpatient services, and specialty care. CHS is committed to providing quality healthcare to the communities it serves and works to improve access to affordable healthcare for all patients."
Ally Financial,338,Diversified Financials,Financials,MI,Detroit,7668,12199,1714,191826,11600,"Ally Financial Inc. is a leading digital financial services company. It offers a wide range of financial products and services including auto financing, online banking, mortgage lending, and corporate financing. Ally Financial serves customers through its digital platforms and operates primarily in the United States. The company was established in 1919 and has since grown to become a major player in the financial services industry, focusing on providing innovative and customer-centric solutions."
Regeneron Pharmaceuticals,339,Pharmaceuticals,Health Care,NY,Tarrytown,89830,12173,4338,29215,11851,"Regeneron Pharmaceuticals, Inc. is an American biotechnology company that focuses on discovering, developing, and commercializing pharmaceutical products for the treatment of serious medical conditions. The company's products target inflammation, oncology, and certain eye diseases. Regeneron is known for its innovative approach to drug development, including the use of Velocisuite technologies, which aim to accelerate the discovery and development of new therapies. The company has collaborations with various organizations and has several products on the market, including Eylea for eye diseases and Dupixent for atopic dermatitis and asthma."
Liberty Media,340,Entertainment,Media,CO,Englewood,9130,12164,1815,42464,7283,"Liberty Media Corporation is an American mass media company that focuses on the entertainment industry. It owns a wide range of media, communications, and entertainment businesses, including subsidiaries and investments in companies such as Sirius XM Holdings, Formula 1, and the Atlanta Braves baseball team. Liberty Media Corporation is known for its diverse portfolio of assets in the media and entertainment sectors."
APA,341,"Mining, Crude-Oil Production",Energy,TX,Houston,11213,12132,3674,13147,2273,"APA Corporation is an American oil and gas exploration and production company. It is the successor of the original Apache Corporation, which was founded in 1954. APA Corporation focuses on the exploration, development, and production of natural gas, crude oil, and natural gas liquids. The company operates assets in the United States, Egypt, and the North Sea region. APA Corporation has a diverse portfolio of onshore and offshore assets and is actively involved in both conventional and unconventional resource plays."
